Task,Surgeon,Trial,Experience_Level,Overall_Performance,,,,,,,,,,,,,,,,,,,,,
Needle Passing,B,1,N,2,,,,,,,,,,,,,,,,,,,,,
Needle Passing,B,2,N,2,,,,,,,,,,,,,,,,,,,,,
Needle Passing,B,3,N,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,B,4,N,4,,,,,,,,,,,,,,,,,,,,,
Needle Passing,C,1,I,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,C,2,I,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,C,3,I,2,,,,,,,,,,,,,,,,,,,,,
Needle Passing,C,4,I,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,C,5,I,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,D,1,E,2,,,,,,,,,,,,,,,,,,,,,
Needle Passing,D,2,E,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,D,3,E,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,D,4,E,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,D,5,E,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,E,1,E,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,E,3,E,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,E,4,E,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,E,5,E,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,F,1,I,4,,,,,,,,,,,,,,,,,,,,,
Needle Passing,F,3,I,4,,,,,,,,,,,,,,,,,,,,,
Needle Passing,F,4,I,4,,,,,,,,,,,,,,,,,,,,,
Needle Passing,H,2,N,4,,,,,,,,,,,,,,,,,,,,,
Needle Passing,H,4,N,4,,,,,,,,,,,,,,,,,,,,,
Needle Passing,H,5,N,4,,,,,,,,,,,,,,,,,,,,,
Needle Passing,I,2,N,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,I,3,N,3,,,,,,,,,,,,,,,,,,,,,
Needle Passing,I,4,N,4,,,,,,,,,,,,,,,,,,,,,
Needle Passing,I,5,N,4,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,B,1,N,2,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,B,2,N,1,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,B,3,N,2,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,B,4,N,1,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,C,1,I,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,C,2,I,4,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,C,3,I,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,C,4,I,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,C,5,I,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,D,1,E,2,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,D,2,E,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,D,3,E,2,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,D,4,E,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,D,5,E,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,E,1,E,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,E,2,E,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,E,3,E,4,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,E,4,E,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,E,5,E,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,F,1,I,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,F,2,I,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,F,3,I,1,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,F,4,I,1,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,F,5,I,2,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,G,1,N,1,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,G,2,N,2,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,G,3,N,2,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,G,4,N,1,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,G,5,N,2,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,H,3,N,2,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,H,4,N,4,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,H,5,N,3,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,I,1,N,1,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,I,2,N,1,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,I,3,N,1,,,,,,,,,,,,,,,,,,,,,
Knot_Tying,I,5,N,1,,,,,,,,,,,,,,,,,,,,,
Suturing,B,1,N,2,,,,,,,,,,,,,,,,,,,,,
Suturing,B,2,N,3,,,,,,,,,,,,,,,,,,,,,
Suturing,B,3,N,2,,,,,,,,,,,,,,,,,,,,,
Suturing,B,4,N,2,,,,,,,,,,,,,,,,,,,,,
Suturing,B,5,N,2,,,,,,,,,,,,,,,,,,,,,
Suturing,C,1,I,4,,,,,,,,,,,,,,,,,,,,,
Suturing,C,2,I,3,,,,,,,,,,,,,,,,,,,,,
Suturing,C,3,I,4,,,,,,,,,,,,,,,,,,,,,
Suturing,C,4,I,5,,,,,,,,,,,,,,,,,,,,,
Suturing,C,5,I,3,,,,,,,,,,,,,,,,,,,,,
Suturing,D,1,E,2,,,,,,,,,,,,,,,,,,,,,
Suturing,D,2,E,3,,,,,,,,,,,,,,,,,,,,,
Suturing,D,3,E,2,,,,,,,,,,,,,,,,,,,,,
Suturing,D,4,E,1,,,,,,,,,,,,,,,,,,,,,
Suturing,D,5,E,2,,,,,,,,,,,,,,,,,,,,,
Suturing,E,1,E,3,,,,,,,,,,,,,,,,,,,,,
Suturing,E,2,E,3,,,,,,,,,,,,,,,,,,,,,
Suturing,E,3,E,3,,,,,,,,,,,,,,,,,,,,,
Suturing,E,4,E,3,,,,,,,,,,,,,,,,,,,,,
Suturing,E,5,E,3,,,,,,,,,,,,,,,,,,,,,
Suturing,F,1,I,4,,,,,,,,,,,,,,,,,,,,,
Suturing,F,2,I,4,,,,,,,,,,,,,,,,,,,,,
Suturing,F,3,I,5,,,,,,,,,,,,,,,,,,,,,
Suturing,F,4,I,4,,,,,,,,,,,,,,,,,,,,,
Suturing,F,5,I,5,,,,,,,,,,,,,,,,,,,,,
Suturing,G,1,N,1,,,,,,,,,,,,,,,,,,,,,
Suturing,G,2,N,3,,,,,,,,,,,,,,,,,,,,,
Suturing,G,3,N,2,,,,,,,,,,,,,,,,,,,,,
Suturing,G,4,N,3,,,,,,,,,,,,,,,,,,,,,
Suturing,G,5,N,4,,,,,,,,,,,,,,,,,,,,,
Suturing,H,1,N,2,,,,,,,,,,,,,,,,,,,,,
Suturing,H,3,N,4,,,,,,,,,,,,,,,,,,,,,
Suturing,H,4,N,3,,,,,,,,,,,,,,,,,,,,,
Suturing,H,5,N,3,,,,,,,,,,,,,,,,,,,,,
Suturing,I,1,N,3,,,,,,,,,,,,,,,,,,,,,
Suturing,I,2,N,4,,,,,,,,,,,,,,,,,,,,,
Suturing,I,3,N,3,,,,,,,,,,,,,,,,,,,,,
Suturing,I,4,N,4,,,,,,,,,,,,,,,,,,,,,
Suturing,I,5,N,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
