Community,Completion_Rate,Narcotics_Calls,Dirty_Streets,Households_Without_Internet,Female_Headed_Households,Vacant_Properties,Violent_Crime,Household_Income,Poverty,Rent_Affordability,Labor_Force_Participation,Percent_Black,Percent_White,Location
Allendale/Irvington/S. Hilton,73.9,28.7,77.8,22.4,77.8,6.5,20,42714.6,14.2,47.5,28.6,85.2,6.9,Black Butterfly
Baltimore City,78.1,59.1,60.6,17.6,51,7.7,16.1,52318.2,15,47.5,28.8,57.3,26.9,Baltimore City
Beechfield/Ten Hills/West Hills,78.6,29.5,24.2,15,60,0.6,9.8,55435.5,8.5,56.8,20,74.9,15.7,Black Butterfly
Belair-Edison,81.6,46.1,74.8,16.3,70.2,3.3,15.9,50010.4,18.9,63.1,31.7,86.2,7.8,Black Butterfly
Brooklyn/Curtis Bay/Hawkins Point,69.3,127.8,108.3,30.4,59.1,8.1,17.6,32598.8,32.1,52.1,35.4,35.8,31.7,Black Butterfly
Cedonia/Frankford,77.5,24.9,18.7,13.7,50,1.2,13.3,51097.8,12.5,46.7,25.7,82.6,9.7,Black Butterfly
Cherry Hill,72.7,36,15.1,30.7,81,6,19.1,24762.1,38,40.8,37.5,89.1,2.5,Black Butterfly
Chinquapin Park/Belvedere,81.8,14.5,23.4,7.5,54.1,0.8,9,59616.5,9.2,41,18.4,67.4,22.4,Black Butterfly
Claremont/Armistead,80.2,12,17,23.2,56.8,0.1,16.9,40449.7,20.5,42.8,29.8,53.2,18.8,Black Butterfly
Clifton-Berea,70.8,76.4,193.7,25.8,50.8,23.7,30.9,39619.1,17.2,51.5,33.1,89.9,2.3,Black Butterfly
Cross-Country/Cheswolde,82.8,1,3.8,12.5,8.8,0.2,3.5,63371.3,4.7,41.7,22.2,22.9,66.8,Black Butterfly
Dickeyville/Franklintown,80,9.3,7.1,26.8,73.1,1.9,6.5,45807.8,6.1,43.3,24.1,79.3,11.3,Black Butterfly
Dorchester/Ashburton,78.7,39,32.9,22.2,66.6,3.2,14.2,55345.8,12.3,47.9,26.4,90.9,2.3,Black Butterfly
Downtown/Seton Hill,77.8,105.7,50.2,5.1,54.1,9.3,50,59158.5,7.5,50.6,25.3,37.8,34.2,White L
Edmondson Village,75.6,73.5,36.4,23,68.5,3.9,14.1,44911.3,14.5,67.5,25.6,93.7,1.3,Black Butterfly
Fells Point,72.7,3.3,26.9,5.4,14.1,0.9,10.2,97869.6,3.3,35.3,12.2,6.6,67.4,White L
Forest Park/Walbrook,80.8,23.1,49.6,35.2,53.3,5.9,12.2,48992.1,15.9,53.8,28.4,89.8,3.6,Black Butterfly
Glen-Fallstaff,77.8,96.2,27,22.6,36.7,1.1,12.6,44228.1,14.3,53.2,26.1,57,25.7,Black Butterfly
Greater Charles Village/Barclay,73.3,54.8,53.4,10.9,43,4.2,16.3,45797.7,12.2,49.2,38.9,30.3,38.6,White L
Greater Govans,82.4,37.4,45.9,15.9,51.7,3.6,13.7,43781.9,17.2,59,25.9,86.5,6.9,Black Butterfly
Greater Mondawmin,71.7,113.6,77.9,32.9,68,13.9,23.4,40488.6,10.5,52.6,34.9,87.5,3.8,Black Butterfly
Greater Roland Park/Poplar Hill,91.7,3.7,8.1,3.4,8.1,0.1,4.1,125868.9,0.2,50,21.2,8.8,73.9,White L
Greater Rosemont,78.2,113.5,88,38.2,67.7,19.1,26.7,37490,20.9,50.5,39,94.2,1.2,Black Butterfly
Greenmount East,81.3,121.2,161,28.6,69.6,29.2,27.7,32207.9,25.8,54.2,40.6,93.2,1.5,Black Butterfly
Hamilton,86.6,12.3,18.4,8,45.7,1,8.6,72534.9,4.5,31.1,25,62.2,28.1,Black Butterfly
Harbor East/Little Italy,71.4,50.3,54.9,11.5,71.4,1.6,24.7,61235.2,24.8,30.6,28.6,44.1,34.1,White L
Harford/Echodale,79.7,14,11.9,10.2,37.2,0.7,9.4,61434.2,4.8,40.3,18.1,58.8,30.4,Black Butterfly
Highlandtown,75,24.8,99.3,10.6,35.9,1.2,12.7,99549.1,7.8,33,9.5,6.4,59.9,White L
Howard Park/West Arlington,83.6,17.6,29.7,25.1,39.9,1.7,10.2,50991.6,9.7,71.3,33.3,89.5,2.4,Black Butterfly
Inner Harbor/Federal Hill,82.4,5,18,7.9,11.2,0.4,7.4,104058.3,2.9,38.4,14.5,10.8,73.8,White L
Lauraville,83,28.2,21.4,6,34.7,1.2,9,70883.2,7.6,34.7,26.8,59.3,29.8,Black Butterfly
Loch Raven,77.5,15.4,25.7,14.9,56.8,0.4,9.2,55191.4,8.3,42.6,21.4,87,5.5,Black Butterfly
Madison/East End,66.7,186.8,340.7,16.7,64.8,18.7,36.1,37302.9,32.1,55.4,43.6,77.5,4.8,Black Butterfly
Medfield/Hampden/Woodberry/Remington,93,13.6,25.9,9.1,20.8,0.7,8.7,72756.9,3.7,39.5,13.1,9.5,71.8,White L
Midtown,83.3,6.6,33.5,9.7,24.7,1.2,13.5,58809.8,6.1,38.5,18.9,29.9,46.8,White L
Midway/Coldstream,75,70.6,154.6,27,66.7,19.8,29.4,35897.9,24.2,54.1,36.6,90.5,2.5,Black Butterfly
Morrell Park/Violetville,84.6,26.9,57.4,27.4,47.2,1.9,21.5,43842.8,8.2,47.1,34.5,28.4,51,Black Butterfly
Mount Washington/Coldspring,88,14,24.7,8.9,17.2,0.2,3.1,86714.8,2.9,45.2,24.2,23,63.9,White L
North Baltimore/Guilford/Homeland,97.2,14.2,9.1,6.1,13.8,0.5,2.6,114246.7,5.1,47.8,39,12.1,59.2,White L
Northwood,74.6,12.9,23.5,15.3,39.1,0.5,11.1,56756.6,7.3,55.2,37.7,78.3,10.2,Black Butterfly
Oldtown/Middle East,69.7,34.9,51.5,23.7,72.8,9.9,32.8,24190.7,41.4,48.3,52.9,77.5,8.7,Black Butterfly
Orangeville/East Highlandtown,85.4,43.3,112.3,15.2,31.9,1.1,22.2,69139.1,8.7,29.7,26.2,10.1,32.4,Black Butterfly
Patterson Park North and East,85.2,30.6,177,14.4,34.2,3.5,12.8,80328,18,46,18.6,27.8,39.1,White L
Penn North/Reservoir Hill,75,162.8,96.4,22,48.9,15.8,18.6,33920.8,11.4,60.7,32.6,82.2,9.6,Black Butterfly
Pimlico/Arlington/Hilltop,81.1,132.1,55,32.6,69,15,25.7,34041.7,18.9,49.7,28.8,90.7,3.1,Black Butterfly
Poppleton/The Terraces/Hollins Market,66.7,71.5,92.2,25.1,84,9.3,20.5,23373.6,45.8,42.8,34.8,78.4,10.6,Black Butterfly
Sandtown-Winchester/Harlem Park,81,305.7,135.3,38.6,71.9,32,33.1,26689.5,30.2,53.1,42.2,92.5,2,Black Butterfly
South Baltimore,100,1.9,12.9,3.5,17.7,0.2,2.1,124827.1,0,25.8,11.1,4.6,81.5,White L
Southeastern,83.3,79.4,46.8,16.4,33.1,1.1,17.3,41980.9,23.2,64.9,35.7,24.5,28.9,Black Butterfly
Southern Park Heights,72.3,44.1,63.9,27.6,64.3,18,19.1,30312.4,29,45.9,38.8,90.5,3.7,Black Butterfly
Southwest Baltimore,67.8,277.4,228.1,27.6,58.9,29.9,37.8,29768.3,34.3,62.3,41.2,75.2,12.3,Black Butterfly
The Waverlies,80,43.2,59.2,20,55.9,4.3,12.7,43890.4,25.3,57,27.4,68.5,19.1,Black Butterfly
Upton/Druid Heights,76.5,415.5,79.7,22,86.6,27,24.2,21530.5,43.5,58.3,40.5,88,5,Black Butterfly
Washington Village/Pigtown,80,111,132.8,8.9,70,5.7,25.4,48941.5,24.4,45.7,20.7,51.8,29.8,Black Butterfly
Westport/Mount Winans/Lakeland,76.5,35.4,64.3,21.7,73.1,7.4,18.6,35200.6,28.5,54.6,32.4,51.6,10.7,Black Butterfly
